iter	Passed	Remaining
650	2313	4794
651	2316	4789
652	2320	4786
653	2323	4782
654	2327	4779
655	2331	4776
656	2334	4772
657	2337	4767
658	2341	4764
659	2344	4760
660	2347	4756
661	2350	4751
662	2355	4749
663	2358	4745
664	2361	4741
665	2365	4738
666	2369	4734
667	2372	4730
668	2375	4726
669	2378	4721
670	2382	4717
671	2385	4714
672	2389	4710
673	2392	4707
674	2396	4703
675	2399	4699
676	2403	4696
677	2406	4692
678	2410	4689
679	2413	4684
680	2416	4681
681	2420	4677
682	2424	4674
683	2427	4670
684	2430	4665
685	2433	4661
686	2437	4657
687	2440	4654
688	2443	4649
689	2446	4644
690	2450	4641
691	2453	4637
692	2457	4634
693	2460	4630
694	2463	4626
695	2467	4622
696	2470	4619
697	2474	4616
698	2478	4612
699	2481	4608
700	2484	4604
701	2488	4600
702	2491	4596
703	2494	4592
704	2497	4588
705	2501	4585
706	2505	4581
707	2509	4578
708	2512	4574
709	2515	4569
710	2518	4566
711	2522	4563
712	2525	4559
713	2529	4555
714	2533	4552
715	2536	4549
716	2540	4546
717	2544	4543
718	2548	4540
719	2552	4537
720	2555	4533
721	2558	4528
722	2561	4524
723	2564	4520
724	2567	4515
725	2571	4512
726	2575	4508
727	2578	4505
728	2582	4502
729	2585	4498
730	2588	4493
731	2592	4490
732	2595	4486
733	2598	4482
734	2602	4478
735	2605	4474
736	2609	4471
737	2612	4468
738	2616	4464
739	2619	4460
740	2623	4456
741	2626	4452
742	2629	4447
743	2632	4444
744	2636	4441
745	2639	4437
746	2643	4433
747	2646	4429
748	2649	4425
749	2652	4421
750	2656	4417
751	2659	4413
752	2663	4410
753	2666	4406
754	2670	4403
755	2673	4399
756	2676	4395
757	2680	4391
758	2683	4387
759	2686	4382
760	2689	4379
761	2693	4376
762	2697	4372
763	2700	4369
764	2703	4365
765	2707	4361
766	2711	4358
767	2714	4354
768	2717	4349
769	2720	4345
770	2723	4340
771	2726	4337
772	2730	4334
773	2734	4330
774	2737	4327
775	2741	4323
776	2744	4320
777	2748	4316
778	2751	4312
779	2754	4308
780	2758	4305
781	2761	4300
782	2765	4298
783	2768	4294
784	2772	4291
785	2775	4286
786	2778	4283
787	2782	4279
788	2786	4276
789	2790	4273
790	2793	4269
791	2796	4265
792	2800	4263
793	2804	4259
794	2807	4255
795	2811	4251
796	2814	4247
797	2817	4244
798	2821	4240
799	2824	4236
800	2827	4232
801	2831	4228
802	2834	4225
803	2837	4221
804	2840	4217
805	2844	4213
806	2847	4210
807	2851	4206
808	2854	4202
809	2857	4198
810	2861	4195
811	2865	4192
812	2868	4188
813	2872	4184
814	2875	4181
815	2879	4178
816	2883	4175
817	2886	4170
818	2890	4167
819	2894	4164
820	2897	4161
821	2901	4158
822	2904	4154
823	2908	4150
824	2912	4147
825	2916	4145
826	2920	4141
827	2924	4139
828	2927	4135
829	2931	4132
830	2935	4129
831	2938	4125
832	2942	4122
833	2945	4117
834	2949	4114
835	2952	4110
836	2955	4106
837	2959	4103
838	2963	4100
839	2966	4096
840	2969	4092
841	2972	4088
842	2976	4084
843	2979	4080
844	2983	4077
845	2986	4074
846	2991	4071
847	2994	4067
848	2997	4064
849	3000	4059
850	3004	4056
851	3007	4052
852	3010	4048
853	3014	4044
854	3018	4042
855	3021	4037
856	3029	4040
857	3032	4036
858	3036	4033
859	3040	4030
860	3044	4027
861	3047	4022
862	3050	4019
863	3054	4015
864	3058	4012
865	3061	4008
866	3064	4005
867	3067	4001
868	3071	3997
869	3074	3993
870	3078	3990
871	3082	3987
872	3085	3983
873	3088	3979
874	3092	3975
875	3095	3972
876	3099	3968
877	3102	3965
878	3106	3962
879	3109	3957
880	3113	3954
881	3116	3950
882	3120	3947
883	3123	3943
884	3127	3940
885	3131	3937
886	3135	3933
887	3138	3930
888	3142	3927
889	3145	3923
890	3149	3919
891	3152	3915
892	3155	3912
893	3159	3908
894	3163	3905
895	3166	3901
896	3170	3898
897	3173	3894
898	3177	3890
899	3180	3887
900	3184	3883
901	3187	3880
902	3190	3876
903	3194	3872
904	3198	3869
905	3202	3866
906	3205	3862
907	3208	3858
908	3211	3854
909	3215	3851
910	3218	3847
911	3222	3844
912	3225	3840
913	3229	3836
914	3232	3833
915	3236	3829
916	3239	3826
917	3243	3822
918	3246	3818
919	3249	3814
920	3253	3811
921	3256	3807
922	3260	3804
923	3263	3800
924	3267	3797
925	3271	3794
926	3274	3790
927	3278	3787
928	3281	3783
929	3285	3779
930	3288	3775
931	3291	3772
932	3295	3768
933	3298	3764
934	3301	3760
935	3305	3756
936	3308	3753
937	3312	3750
938	3315	3746
939	3319	3742
940	3322	3739
941	3326	3736
942	3330	3733
943	3333	3729
944	3337	3725
945	3341	3722
946	3344	3719
947	3348	3715
948	3352	3712
949	3356	3709
950	3359	3705
951	3363	3702
952	3367	3699
953	3371	3696
954	3374	3693
955	3379	3690
956	3382	3686
957	3386	3683
958	3389	3679
959	3393	3676
960	3396	3672
961	3399	3668
962	3403	3665
963	3407	3661
964	3410	3657
965	3413	3654
966	3417	3650
967	3420	3647
968	3424	3643
969	3428	3640
970	3432	3637
971	3435	3633
972	3439	3630
973	3443	3626
974	3446	3623
975	3450	3619
976	3453	3616
977	3457	3613
978	3461	3609
979	3464	3605
980	3467	3601
981	3470	3598
982	3473	3593
983	3476	3589
984	3480	3586
985	3483	3582
986	3487	3579
987	3490	3575
988	3493	3571
989	3496	3567
990	3500	3564
991	3503	3560
992	3507	3556
993	3510	3553
994	3514	3550
995	3518	3546
996	3522	3543
997	3525	3539
998	3528	3535
999	3532	3532
1000	3535	3528
1001	3539	3525
1002	3542	3521
1003	3546	3517
1004	3549	3514
1005	3553	3510
1006	3556	3507
1007	3559	3503
1008	3563	3499
1009	3566	3495
1010	3569	3492
1011	3573	3488
1012	3577	3485
1013	3580	3481
1014	3584	3478
1015	3587	3474
1016	3590	3470
1017	3594	3466
1018	3597	3463
1019	3601	3460
1020	3604	3456
1021	3608	3453
1022	3611	3449
1023	3614	3445
1024	3618	3441
1025	3621	3437
1026	3624	3434
1027	3628	3430
1028	3632	3427
1029	3635	3423
1030	3638	3420
1031	3641	3416
1032	3645	3412
1033	3649	3409
1034	3652	3405
1035	3656	3402
1036	3659	3398
1037	3662	3394
1038	3666	3391
1039	3669	3387
1040	3673	3383
1041	3676	3380
1042	3679	3376
1043	3683	3372
1044	3686	3369
1045	3690	3365
1046	3693	3362
1047	3697	3358
1048	3700	3354
1049	3703	3351
1050	3707	3347
1051	3711	3344
1052	3714	3340
1053	3717	3336
1054	3721	3333
1055	3725	3330
1056	3728	3326
1057	3731	3322
1058	3735	3319
1059	3738	3315
1060	3742	3312
1061	3746	3308
1062	3750	3305
1063	3753	3301
1064	3756	3298
1065	3760	3294
1066	3763	3290
1067	3767	3287
1068	3770	3283
1069	3773	3280
1070	3776	3276
1071	3780	3272
1072	3783	3269
1073	3787	3265
1074	3790	3261
1075	3794	3258
1076	3797	3254
1077	3800	3250
1078	3804	3247
1079	3807	3243
1080	3810	3239
1081	3813	3235
1082	3816	3231
1083	3819	3227
1084	3823	3224
1085	3826	3220
1086	3830	3216
1087	3833	3213
1088	3837	3210
1089	3840	3206
1090	3844	3203
1091	3847	3199
1092	3851	3196
1093	3854	3192
1094	3858	3188
1095	3861	3184
1096	3864	3181
1097	3867	3177
1098	3871	3173
1099	3874	3169
1100	3878	3166
1101	3881	3162
1102	3884	3159
1103	3887	3155
1104	3891	3152
1105	3895	3148
1106	3898	3145
1107	3901	3141
1108	3905	3137
1109	3908	3133
1110	3911	3130
1111	3915	3126
1112	3919	3123
1113	3922	3120
1114	3926	3116
1115	3929	3112
1116	3932	3108
1117	3936	3105
1118	3939	3101
1119	3943	3098
1120	3946	3094
1121	3949	3090
1122	3953	3087
1123	3957	3084
1124	3961	3080
1125	3964	3077
1126	3967	3073
1127	3971	3070
1128	3974	3066
1129	3977	3062
1130	3980	3058
1131	3984	3055
1132	3987	3051
1133	3991	3048
1134	3994	3044
1135	3998	3040
1136	4001	3037
1137	4004	3033
1138	4008	3030
1139	4011	3026
1140	4015	3022
1141	4018	3019
1142	4022	3015
1143	4026	3012
1144	4029	3008
1145	4032	3005
1146	4036	3001
1147	4039	2997
1148	4042	2994
1149	4046	2990
1150	4049	2986
1151	4052	2983
1152	4056	2979
1153	4060	2976
1154	4063	2972
1155	4067	2969
1156	4070	2965
1157	4074	2962
1158	4077	2958
1159	4080	2955
1160	4083	2951
1161	4087	2947
1162	4090	2943
1163	4094	2940
1164	4097	2937
1165	4101	2933
1166	4104	2930
1167	4107	2926
1168	4111	2922
1169	4115	2919
1170	4118	2915
1171	4122	2912
1172	4125	2908
1173	4129	2905
1174	4132	2901
1175	4136	2898
1176	4139	2894
1177	4143	2891
1178	4146	2887
1179	4150	2884
1180	4153	2880
1181	4156	2876
1182	4160	2873
1183	4163	2869
1184	4167	2866
1185	4170	2862
1186	4173	2858
1187	4177	2855
1188	4181	2851
1189	4184	2848
1190	4188	2845
1191	4191	2841
1192	4195	2837
1193	4198	2833
1194	4201	2830
1195	4204	2826
1196	4208	2823
1197	4212	2820
1198	4215	2816
1199	4219	2812
1200	4222	2808
1201	4226	2805
1202	4228	2801
1203	4232	2798
1204	4235	2794
1205	4238	2790
1206	4241	2786
1207	4244	2783
1208	4248	2779
1209	4252	2776
1210	4255	2772
1211	4259	2769
1212	4262	2765
1213	4266	2762
1214	4270	2758
1215	4272	2754
1216	4275	2751
1217	4279	2747
1218	4283	2744
1219	4286	2740
1220	4289	2736
1221	4293	2733
1222	4296	2729
1223	4299	2726
1224	4303	2722
1225	4307	2719
1226	4310	2715
1227	4314	2712
1228	4317	2708
1229	4321	2705
1230	4324	2701
1231	4328	2698
1232	4331	2694
1233	4335	2691
1234	4338	2687
1235	4342	2684
1236	4345	2680
1237	4349	2677
1238	4353	2673
1239	4356	2670
1240	4360	2666
1241	4363	2663
1242	4366	2659
1243	4369	2655
1244	4373	2652
1245	4377	2649
1246	4380	2645
1247	4383	2641
1248	4387	2637
1249	4391	2634
1250	4394	2631
1251	4398	2627
1252	4401	2623
1253	4404	2620
1254	4407	2616
1255	4411	2612
1256	4414	2609
1257	4418	2605
1258	4421	2602
1259	4424	2598
1260	4428	2595
1261	4432	2591
1262	4435	2588
1263	4438	2584
1264	4441	2580
1265	4445	2577
1266	4448	2573
1267	4452	2570
1268	4455	2566
1269	4458	2562
1270	4462	2559
1271	4466	2556
1272	4470	2552
1273	4473	2549
1274	4476	2545
1275	4480	2542
1276	4483	2538
1277	4487	2534
1278	4490	2531
1279	4494	2527
1280	4497	2524
1281	4501	2520
1282	4504	2517
1283	4507	2513
1284	4510	2509
1285	4514	2506
1286	4517	2502
1287	4520	2498
1288	4523	2495
1289	4527	2491
1290	4530	2488
1291	4533	2484
1292	4537	2480
1293	4540	2477
1294	4543	2473
1295	4546	2469
1296	4550	2466
1297	4553	2462
1298	4557	2459
1299	4560	2455
1300	4564	2452
1301	4568	2449
1302	4570	2445
1303	4574	2441
1304	4577	2438
1305	4581	2434
1306	4584	2430
1307	4588	2427
1308	4591	2423
1309	4594	2420
1310	4598	2416
1311	4601	2413
1312	4604	2409
1313	4608	2405
1314	4611	2402
1315	4615	2398
1316	4618	2395
1317	4622	2391
1318	4625	2388
1319	4628	2384
1320	4632	2381
1321	4636	2377
1322	4639	2374
1323	4642	2370
1324	4646	2367
1325	4650	2363
1326	4653	2360
1327	4657	2356
1328	4660	2352
1329	4663	2349
1330	4666	2345
1331	4669	2341
1332	4673	2338
1333	4677	2335
1334	4679	2331
1335	4683	2327
1336	4686	2324
1337	4690	2320
1338	4693	2317
1339	4697	2313
1340	4700	2309
1341	4704	2306
1342	4707	2302
1343	4710	2299
1344	4713	2295
1345	4716	2291
1346	4720	2288
1347	4723	2284
1348	4727	2281
1349	4730	2277
1350	4733	2274
1351	4737	2270
1352	4741	2267
1353	4744	2263
1354	4747	2259
1355	4751	2256
1356	4754	2252
1357	4758	2249
1358	4761	2245
1359	4765	2242
1360	4768	2238
1361	4772	2235
1362	4775	2231
1363	4779	2228
1364	4782	2224
1365	4785	2221
1366	4789	2217
1367	4792	2214
1368	4795	2210
1369	4798	2206
1370	4801	2202
1371	4804	2199
1372	4808	2195
1373	4811	2191
1374	4814	2188
1375	4818	2185
1376	4822	2181
1377	4825	2178
1378	4828	2174
1379	4832	2171
1380	4835	2167
1381	4838	2163
1382	4841	2160
1383	4845	2156
1384	4848	2153
1385	4852	2149
1386	4855	2145
1387	4859	2142
1388	4863	2139
1389	4867	2136
1390	4872	2133
1391	4876	2129
1392	4879	2126
1393	4883	2123
1394	4888	2119
1395	4892	2116
1396	4896	2113
1397	4901	2110
1398	4904	2107
1399	4918	2107
1400	4924	2105
1401	4928	2102
1402	4932	2098
1403	4936	2095
1404	4939	2091
1405	4943	2088
1406	4947	2085
1407	4951	2081
1408	4955	2078
1409	4959	2075
1410	4963	2071
1411	4967	2068
1412	4970	2064
1413	4974	2061
1414	4978	2058
1415	4981	2054
1416	4985	2051
1417	4989	2048
1418	4993	2044
1419	4997	2041
1420	5000	2037
1421	5003	2033
1422	5007	2030
1423	5011	2026
1424	5014	2023
1425	5018	2020
1426	5021	2016
1427	5025	2013
1428	5029	2009
1429	5032	2006
1430	5035	2002
1431	5039	1998
1432	5042	1995
1433	5046	1991
1434	5049	1988
1435	5053	1984
1436	5056	1981
1437	5060	1977
1438	5063	1974
1439	5067	1970
1440	5070	1966
1441	5073	1963
1442	5077	1959
1443	5080	1956
1444	5083	1952
1445	5087	1949
1446	5091	1945
1447	5094	1942
1448	5097	1938
1449	5101	1934
1450	5104	1931
1451	5107	1927
1452	5111	1924
1453	5115	1920
1454	5119	1917
1455	5122	1913
1456	5125	1910
1457	5129	1906
1458	5132	1903
1459	5136	1899
1460	5139	1896
1461	5143	1892
1462	5146	1888
1463	5149	1885
1464	5153	1881
1465	5157	1878
1466	5161	1875
1467	5164	1871
1468	5168	1868
1469	5172	1864
1470	5176	1861
1471	5179	1858
1472	5183	1854
1473	5187	1851
1474	5190	1847
1475	5194	1843
1476	5197	1840
1477	5201	1837
1478	5205	1833
1479	5209	1830
1480	5213	1826
1481	5216	1823
1482	5220	1819
1483	5224	1816
1484	5227	1812
1485	5231	1809
1486	5234	1805
1487	5237	1802
1488	5241	1798
1489	5244	1795
1490	5248	1791
1491	5252	1788
1492	5256	1784
1493	5259	1781
1494	5263	1778
1495	5266	1774
1496	5269	1770
1497	5273	1767
1498	5277	1763
1499	5280	1760
1500	5283	1756
1501	5286	1752
1502	5290	1749
1503	5294	1745
1504	5297	1742
1505	5301	1738
1506	5304	1735
1507	5308	1731
1508	5312	1728
1509	5315	1725
1510	5319	1721
1511	5322	1717
1512	5326	1714
1513	5330	1711
1514	5334	1707
1515	5338	1704
1516	5341	1700
1517	5344	1697
1518	5348	1693
1519	5351	1689
1520	5354	1686
1521	5358	1682
1522	5361	1679
1523	5365	1675
1524	5369	1672
1525	5373	1668
1526	5376	1665
1527	5379	1661
1528	5383	1658
1529	5386	1654
1530	5390	1651
1531	5393	1647
1532	5397	1644
1533	5400	1640
1534	5404	1637
1535	5407	1633
1536	5411	1630
1537	5414	1626
1538	5418	1622
1539	5421	1619
1540	5425	1615
1541	5428	1612
1542	5432	1609
1543	5437	1605
1544	5440	1602
1545	5443	1598
1546	5447	1595
1547	5449	1591
1548	5453	1587
1549	5456	1584
1550	5460	1580
1551	5464	1577
1552	5467	1573
1553	5471	1570
1554	5474	1566
1555	5478	1563
1556	5480	1559
1557	5484	1555
1558	5487	1552
1559	5491	1548
1560	5495	1545
1561	5498	1541
1562	5501	1538
1563	5505	1534
1564	5508	1531
1565	5512	1527
1566	5515	1524
1567	5519	1520
1568	5522	1517
1569	5526	1513
1570	5529	1509
1571	5532	1506
1572	5536	1502
1573	5539	1499
1574	5543	1495
1575	5546	1492
1576	5549	1488
1577	5553	1485
1578	5557	1481
1579	5560	1478
1580	5564	1474
1581	5567	1471
1582	5571	1467
1583	5574	1464
1584	5578	1460
1585	5581	1457
1586	5585	1453
1587	5588	1449
1588	5591	1446
1589	5595	1442
1590	5598	1439
1591	5602	1435
1592	5605	1432
1593	5609	1428
1594	5613	1425
1595	5615	1421
1596	5619	1417
1597	5622	1414
1598	5626	1411
1599	5630	1407
1600	5633	1403
1601	5636	1400
1602	5640	1396
1603	5643	1393
1604	5646	1389
1605	5650	1386
1606	5654	1382
1607	5658	1379
1608	5662	1375
1609	5666	1372
1610	5669	1368
1611	5672	1365
1612	5676	1361
1613	5680	1358
1614	5684	1355
1615	5687	1351
1616	5691	1348
1617	5695	1344
1618	5699	1341
1619	5703	1337
1620	5707	1334
1621	5711	1331
1622	5714	1327
1623	5718	1323
1624	5722	1320
1625	5726	1317
1626	5730	1313
1627	5733	1310
1628	5737	1306
1629	5740	1303
1630	5744	1299
1631	5748	1296
1632	5751	1292
1633	5755	1289
1634	5759	1285
1635	5763	1282
1636	5767	1279
1637	5771	1275
1638	5776	1272
1639	5779	1268
1640	5783	1265
1641	5787	1261
1642	5790	1258
1643	5794	1254
1644	5798	1251
1645	5801	1247
1646	5805	1244
1647	5808	1240
1648	5812	1237
1649	5815	1233
1650	5819	1230
1651	5823	1226
1652	5827	1223
1653	5830	1219
1654	5834	1216
1655	5837	1212
1656	5841	1209
1657	5845	1205
1658	5848	1202
1659	5852	1198
1660	5855	1195
1661	5859	1191
1662	5863	1188
1663	5867	1184
1664	5870	1181
1665	5874	1177
1666	5877	1174
1667	5880	1170
1668	5884	1167
1669	5887	1163
1670	5891	1159
1671	5895	1156
1672	5898	1152
1673	5901	1149
1674	5905	1145
1675	5908	1142
1676	5912	1138
1677	5914	1135
1678	5918	1131
1679	5921	1127
1680	5925	1124
1681	5928	1120
1682	5932	1117
1683	5935	1113
1684	5939	1110
1685	5942	1106
1686	5946	1103
1687	5949	1099
1688	5953	1096
1689	5956	1092
1690	5960	1089
1691	5963	1085
1692	5967	1082
1693	5970	1078
